Time - Plot 0,Amplitude - Plot 0
0,0.0012
10,0.000352
20,0.000391
30,0.000548
40,0.000939
50,0.000848
60,0.000209
70,0.000613
80,0.000822
90,0.000378
100,0.000757
110,0.000652
120,0.000196
130,0.000731
140,0.000522
150,0.000418
160,5.20E-05
170,0.000509
180,0.000378
190,7.80E-05
200,0.000248
210,0.000418
220,0.000626
230,0.000483
240,0.000848
250,0.000391
260,0.000496
270,0.000444
280,0.000613
290,0.000209
300,0.001292
310,6.50E-05
320,0.000287
330,0.001135
340,0.000457
350,0.0006
360,0.0003
370,0.000196
380,0.000339
390,0.000117
400,0.000248
410,1.30E-05
420,1.30E-05
430,-0.000509
440,0.000287
450,-0.00013
460,0.000444
470,0.000744
480,5.20E-05
490,0.000404
500,0.000196
510,0.000339
520,0.000574
530,0.000418
540,0.000183
550,0.000196
560,0.000587
570,0.000496
580,0.000183
590,0.000391
600,0.000378
610,0.000639
620,0.000248
630,0.000404
640,0.001005
650,0.000639
660,0.000652
670,0.000979
680,-9.10E-05
690,0.000313
700,-0.000574
710,6.50E-05
720,-0.000104
730,0.000952
740,0.000809
750,9.10E-05
760,-0.00013
770,9.10E-05
780,-0.000183
790,0.000209
800,0.000196
810,0.0006
820,-0.000339
830,0.000157
840,0.000313
850,0.000574
860,0.000248
870,0.000731
880,0.000509
890,0.000431
900,0.000261
910,0.000574
920,0.000352
930,0.000352
940,0.000483
950,0.000509
960,3.90E-05
970,0.00077
980,0.000574
990,0.000848
1000,0.001605
1010,0.000965
1020,0.000809
1030,0.0012
1040,0.000861
1050,0.000744
1060,0.001057
1070,0.001239
1080,0.001292
1090,0.001409
1100,0.000848
1110,0.001357
1120,0.001213
1130,0.001122
1140,0.001683
1150,0.001735
1160,0.001226
1170,0.001474
1180,0.001566
1190,0.001827
1200,0.001174
1210,0.00137
1220,0.001461
1230,0.001253
1240,0.00137
1250,0.001331
1260,0.001761
1270,0.001657
1280,0.001279
1290,0.001122
1300,0.001161
1310,0.001187
1320,0.000718
1330,0.0015
1340,0.001253
1350,0.000757
1360,0.000835
1370,0.000692
1380,0.000678
1390,0.000378
1400,0.000431
1410,0.000418
1420,0.001018
1430,0.001683
1440,0.000835
1450,0.000287
1460,0.000457
1470,0.000418
1480,0.000418
1490,0.000326
1500,0.000117
1510,0.0009
1520,0.000444
1530,-0.000117
1540,0.000535
1550,0.001239
1560,0.000548
1570,-7.80E-05
1580,0.000626
1590,0.000287
1600,0.000848
1610,0.000339
1620,0.000718
1630,0.000874
1640,0.000587
1650,-5.20E-05
1660,0.000652
1670,0.000718
1680,0.000444
1690,6.50E-05
1700,0.00047
1710,0.000222
1720,0.000574
1730,0.000757
1740,0.000574
1750,-0.0012
1760,-0.002075
1770,-0.002583
1780,-0.002544
1790,-0.003966
1800,-0.003327
1810,-0.004619
1820,-0.004606
1830,-0.004645
1840,-0.00595
1850,-0.00578
1860,-0.005767
1870,-0.006484
1880,-0.006928
1890,-0.007437
1900,-0.007111
1910,-0.007646
1920,-0.008455
1930,-0.00805
1940,-0.009224
1950,-0.00865
1960,-0.008559
1970,-0.00882
1980,-0.00882
1990,-0.009029
2000,-0.009107
2010,-0.009694
2020,-0.009903
2030,-0.009968
2040,-0.010281
2050,-0.010033
2060,-0.009733
2070,-0.010099
2080,-0.010438
2090,-0.010242
2100,-0.010699
