Time - Plot 0,Amplitude - Plot 0
0,-0.0074956
10,-0.00749366
20,-0.00749155
30,-0.00748994
40,-0.00748783
50,-0.00748685
60,-0.00748608
70,-0.00748625
80,-0.00748647
90,-0.00748633
100,-0.00748538
110,-0.00748518
120,-0.00748407
130,-0.00748351
140,-0.00748293
150,-0.00748216
160,-0.00748275
170,-0.00748383
180,-0.00748806
190,-0.00748944
200,-0.00748883
210,-0.00748842
220,-0.00748893
230,-0.00748791
240,-0.00748728
250,-0.00748693
260,-0.00748668
270,-0.0074858
280,-0.00748923
290,-0.0074914
300,-0.00749119
310,-0.0074921
320,-0.00749209
330,-0.00749395
340,-0.00749394
350,-0.00749135
360,-0.0074888
370,-0.00748821
380,-0.00748546
390,-0.00748348
400,-0.00748147
410,-0.00748096
420,-0.00748154
430,-0.00748213
440,-0.00748256
450,-0.00748387
460,-0.00748291
470,-0.00748185
480,-0.00748047
490,-0.00747816
500,-0.00747738
510,-0.00747618
520,-0.00747713
530,-0.00747584
540,-0.00747366
550,-0.00747112
560,-0.00746855
570,-0.00746695
580,-0.00746545
590,-0.00746642
600,-0.00747225
610,-0.00747448
620,-0.00747542
630,-0.00747418
640,-0.00747269
650,-0.00747108
660,-0.00747118
670,-0.00747026
680,-0.00746912
690,-0.00746746
700,-0.00746512
710,-0.00746314
720,-0.00746064
730,-0.00745796
740,-0.00745089
750,-0.00744156
760,-0.00743122
770,-0.00741909
780,-0.00740659
790,-0.00739402
800,-0.00738171
810,-0.00737031
820,-0.00735999
830,-0.00735185
840,-0.00734272
850,-0.00733328
860,-0.00732334
870,-0.00731329
880,-0.00730474
890,-0.00729412
900,-0.00728377
910,-0.00727351
920,-0.00726489
930,-0.00725645
940,-0.00724836
950,-0.00724033
960,-0.00723135
970,-0.00722329
980,-0.00721461
990,-0.00720623
1000,-0.00719812
1010,-0.00719187
1020,-0.00718528
1030,-0.00717726
1040,-0.00717078
1050,-0.00716195
1060,-0.00715313
1070,-0.00714542
1080,-0.00713826
1090,-0.00713001
1100,-0.00712196
1110,-0.00711358
1120,-0.00710591
1130,-0.0070989
1140,-0.00709172
1150,-0.00708425
1160,-0.00707758
1170,-0.00707046
1180,-0.00706346
1190,-0.00705534
1200,-0.0070481
1210,-0.0070422
1220,-0.0070359
1230,-0.00702912
1240,-0.007028
1250,-0.00702304
1260,-0.0070188
1270,-0.00701169
1280,-0.00700529
1290,-0.00699696
1300,-0.00698906
1310,-0.00698215
1320,-0.00697605
1330,-0.00696822
1340,-0.0069612
1350,-0.00695364
1360,-0.00694644
1370,-0.00694075
1380,-0.00693437
1390,-0.00692872
1400,-0.00692464
1410,-0.00691871
1420,-0.00691294
1430,-0.00690722
1440,-0.00690091
1450,-0.00689408
1460,-0.00688711
1470,-0.00688206
1480,-0.00687761
1490,-0.00687534
1500,-0.00687029
1510,-0.00686527
1520,-0.00685842
1530,-0.00685165
1540,-0.00684504
1550,-0.00683944
1560,-0.00683211
1570,-0.00682626
1580,-0.00682097
1590,-0.00681454
1600,-0.00680949
1610,-0.00680477
1620,-0.0067992
1630,-0.00679508
1640,-0.00678952
1650,-0.00678476
1660,-0.00677851
1670,-0.00677294
1680,-0.00676793
1690,-0.00676151
1700,-0.00675622
1710,-0.00675166
1720,-0.00674704
1730,-0.00674088
1740,-0.00673485
1750,-0.00673044
1760,-0.00672573
1770,-0.0067198
1780,-0.00671482
1790,-0.00670966
1800,-0.00670286
1810,-0.00669718
1820,-0.00669187
1830,-0.00668659
1840,-0.0066811
1850,-0.00667594
1860,-0.00667085
1870,-0.00666588
1880,-0.00666035
1890,-0.00665481
1900,-0.00665042
1910,-0.00664482
1920,-0.00664027
1930,-0.00663498
1940,-0.00663004
1950,-0.00662616
1960,-0.00662105
1970,-0.0066156
1980,-0.00661022
1990,-0.00660466
2000,-0.00660043
2010,-0.00659604
2020,-0.00659124
2030,-0.00658714
2040,-0.00658234
2050,-0.0065769
2060,-0.00657223
2070,-0.00656848
2080,-0.006565
2090,-0.00656003
2100,-0.00655557
