Time - Plot 0,Amplitude - Plot 0
0,0.000431
10,0.000757
20,-3.90E-05
30,0.000548
40,-0.000157
50,0.000744
60,0.0009
70,0.000757
80,0.000626
90,0.000626
100,0.000665
110,0.000744
120,0.000574
130,0.000483
140,0.000665
150,0.000992
160,0.000235
170,0.000979
180,0.001344
190,0.001096
200,0.000783
210,0.000692
220,0.001148
230,0.00077
240,0.000457
250,0.000757
260,0.000378
270,0.000483
280,0.000796
290,0.001057
300,1.30E-05
310,0.000665
320,-3.90E-05
330,0.000196
340,0.000235
350,0.000222
360,0.000235
370,0.000339
380,0.000431
390,-6.50E-05
400,0.000365
410,0.000652
420,0.000287
430,2.60E-05
440,0.001135
450,-5.20E-05
460,5.20E-05
470,0.000952
480,3.90E-05
490,-0.000248
500,-0.000144
510,0.000196
520,-0.000196
530,3.90E-05
540,-0.000365
550,0.000287
560,0.000678
570,0.000796
580,0.000561
590,0.000496
600,0.000861
610,0.000887
620,0.000574
630,0.000117
640,0.000652
650,0.000339
660,0.000222
670,0.00013
680,0.00017
690,-0.000496
700,0.000144
710,2.60E-05
720,-0.000587
730,6.50E-05
740,0.000209
750,7.80E-05
760,0.000796
770,0.001031
780,0.000626
790,0.00137
800,0.000744
810,0.000587
820,0.001031
830,0.000861
840,0.000313
850,0.001448
860,0.002048
870,0.00244
880,0.001774
890,0.001135
900,0.001266
910,0.001187
920,0.001148
930,0.001527
940,0.000965
950,0.001618
960,0.001083
970,0.001122
980,0.001031
990,0.001213
1000,0.001357
1010,0.0009
1020,0.00137
1030,0.00137
1040,0.000926
1050,0.000848
1060,0.001122
1070,0.000483
1080,0.000861
1090,0.00154
1100,0.000744
1110,0.001005
1120,0.000548
1130,0.000952
1140,0.000887
1150,0.000979
1160,0.001174
1170,0.000418
1180,0.000705
1190,-0.000535
1200,-0.001474
1210,-0.002609
1220,-0.003562
1230,-0.004475
1240,-0.005806
1250,-0.006419
1260,-0.007398
1270,-0.007633
1280,-0.008376
1290,-0.009264
1300,-0.009211
1310,-0.009472
1320,-0.009655
1330,-0.010229
1340,-0.010177
1350,-0.010829
1360,-0.011469
1370,-0.010947
1380,-0.011469
1390,-0.011808
1400,-0.011142
1410,-0.011586
1420,-0.01109
1430,-0.011586
1440,-0.011508
1450,-0.011873
1460,-0.01156
1470,-0.011873
1480,-0.011899
1490,-0.011964
1500,-0.011664
1510,-0.012473
1520,-0.012421
1530,-0.012512
1540,-0.012251
1550,-0.012082
1560,-0.012538
1570,-0.012408
1580,-0.011586
1590,-0.012538
1600,-0.012473
1610,-0.011977
1620,-0.01233
1630,-0.012212
1640,-0.011403
1650,-0.011925
1660,-0.012525
1670,-0.012421
1680,-0.012069
1690,-0.012056
1700,-0.012734
1710,-0.013047
1720,-0.012917
1730,-0.012356
1740,-0.012434
1750,-0.012695
1760,-0.011638
1770,-0.012812
1780,-0.012708
1790,-0.013112
1800,-0.012395
1810,-0.013165
1820,-0.013373
1830,-0.013165
1840,-0.012721
1850,-0.012473
1860,-0.012969
1870,-0.013165
1880,-0.013569
1890,-0.013334
1900,-0.013869
1910,-0.012799
1920,-0.013413
1930,-0.013517
1940,-0.013086
1950,-0.013191
1960,-0.013047
1970,-0.012852
1980,-0.01353
1990,-0.012904
2000,-0.012904
2010,-0.012591
2020,-0.012682
2030,-0.013608
2040,-0.01323
2050,-0.0137
2060,-0.013126
2070,-0.012995
2080,-0.01323
2090,-0.01306
2100,-0.013961
